kepoi_name,disposition,period,time0bk,duration,depth,ingress,impact,kepid
K00124.01,CONFIRMED,12.691150,137.121200,4.152900,260.000000,0.000000,0.903000,11086270
K00124.02,CONFIRMED,31.719870,142.819000,5.350400,359.000000,0.000000,0.918000,11086270
K00125.01,FALSE POSITIVE,38.478743,151.852332,5.025400,23818.000000,0.000000,0.026000,11449844
K00126.01,FALSE POSITIVE,33.797230,202.298000,13.751300,11578.000000,0.000000,0.709000,5897826
K00127.01,CONFIRMED,3.578783,134.029405,2.898200,11445.000000,0.000000,0.025000,8359498
K00128.01,CONFIRMED,4.942783,136.329004,3.382000,10877.000000,0.000000,0.599000,11359879
K00129.01,CANDIDATE,24.669170,132.864380,7.015000,7685.000000,0.000000,0.032000,11974540
K00129.02,FALSE POSITIVE,143.211094,221.755650,2.711000,211.200000,0.037000,0.100000,11974540
K00130.01,FALSE POSITIVE,34.193587,155.296150,9.035400,13480.000000,0.000000,0.638100,5297298
K00131.01,CANDIDATE,5.014233,133.173630,4.599000,6361.000000,0.000000,0.028000,7778437
K00132.01,FALSE POSITIVE,10.810135,132.950730,3.736500,5828.000000,0.000000,0.952000,8892910
K00133.01,FALSE POSITIVE,4.618766,133.386000,5.569700,4971.000000,0.000000,0.700000,11673674
K00134.01,FALSE POSITIVE,67.421120,152.797600,12.247900,5178.000000,0.000000,0.689300,9032900
K00135.01,CONFIRMED,3.024095,132.415929,2.817900,7832.000000,0.000000,0.199000,9818381
K00136.01,FALSE POSITIVE,15.663859,147.395460,2.533300,5253.000000,0.000000,1.160000,7601633
K00137.01,CONFIRMED,7.641571,135.407460,3.453300,2292.000000,0.000000,0.509000,8644288
K00137.02,CONFIRMED,14.858940,128.152720,3.629200,3249.000000,0.000000,0.725000,8644288
K00137.03,CONFIRMED,3.504761,133.504300,2.119200,303.000000,0.000000,0.715000,8644288
K00138.01,CANDIDATE,48.937964,140.765350,6.567800,6948.000000,0.000000,0.986000,8506766
K00139.01,CONFIRMED,224.797120,142.087400,11.118900,3480.000000,0.000000,0.707000,8559644
K00139.02,CONFIRMED,3.341840,141.352100,2.902100,154.000000,0.000000,0.578000,8559644
